Points:0;Points:1;Points:2;Young Modulus
-45;-15;40;414448
-40;-10;35;529045
-45;-10;40;526132
-40;-10;40;362887
-45;-10;45;305014
-45;-5;45;503212
-45;-5;50;290859
-40;-5;45;305014
-45;-30;10;317906
-45;-25;10;357295
-45;-25;15;487953
-40;-25;10;441022
-40;-15;5;267699
-40;-10;10;263589
-45;-15;10;232499
-40;-15;10;282408
-45;-5;40;489653
-40;-5;40;526132
-40;-5;35;529514
-40;-15;15;384778
-45;-20;15;561071
-40;-20;10;398202
-40;-25;5;313076
-40;-25;50;374052
-40;-25;45;390759
-40;-20;50;329587
-35;-20;45;334709
-40;-10;15;339667
-45;-15;15;432200
-40;-75;55;411426
-35;-70;55;385831
-40;-75;60;265250
-35;-75;55;432789
-40;-20;15;514689
-35;-5;40;414448
-35;-5;35;548338
-30;-5;35;541384
-35;-10;40;435801
-30;-5;40;517903
-45;-30;35;378043
-40;-25;35;469057
-45;-30;40;478233
-40;-30;35;432226
-45;-10;10;307931
-45;-5;10;514185
-45;-5;15;407987
-40;-5;10;307931
-45;-25;50;366239
-45;-25;45;434337
-45;-20;50;409272
-40;-20;45;437814
-45;-10;20;427950
-45;-5;20;465123
-45;-5;25;386711
-40;-5;20;427950
-45;-10;35;529514
-45;-5;35;486625
-45;-10;25;464736
-45;-5;30;428188
-40;-5;25;464736
-45;-10;30;527676
-40;-5;30;527676
-35;-5;45;389051
-35;-25;50;355080
-35;-25;45;327603
-35;-20;50;309947
-30;-20;45;297715
-45;-20;30;532952
-40;-15;25;543360
-45;-15;30;562944
-40;-15;30;543198
-45;-10;15;395592
-40;-5;15;395592
-45;-20;25;562587
-45;-15;25;563433
-40;-30;60;447480
-40;-25;65;206354
-45;-30;65;348384
-40;-30;65;317585
-30;-30;75;609253
-30;-25;80;519776
-35;-30;80;336654
-30;-30;80;482460
-30;-70;55;451514
-35;-75;60;381043
-30;-75;55;514127
-45;-25;20;538674
-45;-20;20;596549
-40;-20;20;573733
-35;-15;10;380420
-35;-15;15;427747
-45;-15;20;559526
-45;-25;25;474810
-40;-20;25;524600
-40;-10;25;503104
-40;-10;20;466059
-40;-15;20;491224
-40;-85;15;532113
-40;-80;20;371799
-45;-85;20;499025
-40;-85;20;484190
-40;-35;30;302329
-35;-30;30;455627
-40;-35;35;384372
-35;-35;30;333439
-30;-25;50;407885
-30;-25;45;240120
-30;-20;50;319347
-25;-20;45;240120
-40;-30;5;281622
-40;-30;10;247547
-45;-20;10;379459
-45;-80;65;185295
-45;-75;65;235424
-45;-75;70;194937
-40;-75;65;242926
-35;-5;15;432200
-35;-5;20;559526
-45;-30;25;318612
-45;-30;20;359631
-40;-25;20;534427
-40;-10;30;520976
-40;-10;45;374229
-45;-20;5;256349
-40;-20;5;409578
-45;-30;60;449616
-45;-30;55;498577
-45;-25;60;369513
-40;-25;55;410669
-45;-30;30;370141
-45;-25;35;522448
-40;-25;30;505242
-45;-25;40;499606
-45;-25;30;505778
-45;-10;50;306279
-40;-25;40;459841
-35;-20;40;464116
-40;-5;50;306279
-40;-30;15;358231
-35;-25;10;418657
-40;-25;15;514613
-35;-25;15;453577
-35;-15;20;513851
-35;-15;25;506865
-45;-20;35;541384
-45;-15;35;548338
-40;-15;35;484045
-45;-20;40;517903
-40;-15;40;435801
-45;-20;45;410571
-45;-15;45;389051
-40;-15;45;392776
-45;-30;45;451088
-40;-30;40;443011
-40;-10;50;237910
-45;-15;50;290336
-40;-15;50;337022
-45;-75;45;514452
-45;-70;45;160044
-45;-70;50;343164
-40;-70;45;238354
-45;-80;25;245621
-45;-75;25;230088
-45;-75;30;213015
-40;-75;25;222631
-45;-35;20;126630
-40;-30;20;463297
-45;-30;50;391197
-40;-30;45;442843
-45;-40;55;185606
-40;-35;50;481135
-45;-35;55;487364
-40;-35;55;476299
-40;-30;55;487490
-45;-35;60;220839
-45;-25;55;422346
-45;-20;55;352288
-40;-30;50;419363
-35;-25;55;442091
-35;-20;55;381945
-45;-5;55;399131
-45;-30;15;246680
-40;-20;30;536781
-40;-20;35;513953
-45;-15;55;235233
-40;-20;40;492244
-45;-20;60;206803
-45;-15;60;235908
-40;-15;55;322888
-45;-35;50;470865
-40;-20;55;355541
-45;-75;40;403159
-45;-70;40;184081
-40;-70;40;169396
-40;-35;20;252175
-40;-30;25;398627
-45;-35;25;131095
-40;-35;25;205927
-40;-25;25;506967
-35;-20;20;530255
-35;-10;15;384778
-25;-5;35;522448
-30;-10;40;492244
-25;-5;40;499606
-45;-35;45;484593
-40;-35;45;477635
-40;-25;60;381456
-45;-35;40;523647
-40;-35;40;449958
-35;-25;40;359839
-30;-20;40;350260
-35;-15;5;300006
-35;-10;35;484045
-35;-10;30;543198
-35;-15;30;519513
-35;-10;45;392776
-40;-30;70;276150
